Date,Product_ID,Product_Name,Category,Unit_Price,Quantity_Sold,Total_Sales,Customer_ID,First_Name,Last_Name,Payment_Type
2024-05-13,vqo-087765,Board Game,Toys & Games,37.82,3,113.46,CUST-440154,Lisa,Martin,Credit Card
2024-05-13,lVL-424713,Dress,Clothing,147.38,4,589.52,CUST-649295,Elizabeth,Moore,Credit Card
2024-05-13,Hyz-508476,Shampoo,Health & Beauty,46.13,3,138.39,CUST-831441,Kyle,Sutton,Cash
2024-05-13,plL-547755,Camera,Electronics,1257.97,6,7547.82,CUST-733780,Craig,Wells,Credit Card
2024-05-13,VwP-001650,Novel,Books,22.64,5,113.2,CUST-058171,Michael,Doyle,Online Payment
2024-05-13,hnK-786644,Puzzle,Toys & Games,49.59,3,148.77,CUST-465558,John,Bailey,Debit Card
2024-05-13,tdl-686707,Headphones,Electronics,231.3,7,1619.1,CUST-981267,Victor,Brown,Cash
2024-05-13,KOZ-259073,Chair,Home & Garden,194.51,4,778.04,CUST-101041,Teresa,James,Debit Card
2024-05-13,GQT-427944,Board Game,Toys & Games,34.34,1,34.34,CUST-748498,Kenneth,Hunt,Debit Card
2024-05-13,ZaS-812888,Sneakers,Clothing,255.26,9,2297.34,CUST-970367,David,Gilbert,Cash
2024-05-13,PVW-721916,Blanket,Home & Garden,97.33,4,389.32,CUST-504145,William,Smith,Credit Card
2024-05-13,qZK-724602,Sneakers,Clothing,269.07,9,2421.63,CUST-305703,Deborah,Mccoy,Debit Card
2024-05-13,JcK-499383,Jeans,Clothing,70.83,4,283.32,CUST-564353,Michelle,Tanner,Debit Card
2024-05-13,FXb-292132,Board Game,Toys & Games,46.87,6,281.22,CUST-210762,Adam,Miller,Debit Card
2024-05-13,JIo-444205,Chair,Home & Garden,94.44,8,755.52,CUST-204896,Zachary,Garcia,Cash
2024-05-13,opU-076945,Science Fiction,Books,29.32,8,234.56,CUST-224262,Kayla,Young,Debit Card
2024-05-13,uVN-088169,Jeans,Clothing,47.74,2,95.48,CUST-422011,David,Black,Credit Card
2024-05-13,dEh-573716,Chair,Home & Garden,73.38,2,146.76,CUST-539898,David,Bryant,Debit Card
2024-05-13,XlB-677444,Makeup Kit,Health & Beauty,28.03,7,196.21,CUST-686305,Tiffany,Ramirez,Online Payment
