Date,Product_ID,Product_Name,Category,Unit_Price,Quantity_Sold,Total_Sales,Customer_ID,First_Name,Last_Name,Payment_Type
2024-05-17,ftY-653316,Laptop,Electronics,1480.85,6,8885.1,CUST-522799,Martha,Schaefer,Debit Card
2024-05-17,cMR-650251,Laptop,Electronics,1340.55,3,4021.65,CUST-805286,James,Melton,Online Payment
2024-05-17,Ybt-085602,Puzzle,Toys & Games,14.7,9,132.3,CUST-294697,Ashley,Hopkins,Credit Card
2024-05-17,BHn-848048,Makeup Kit,Health & Beauty,20.53,9,184.77,CUST-154212,Austin,Williams,Debit Card
2024-05-17,JFo-859613,Action Figure,Toys & Games,127.78,1,127.78,CUST-987047,Julie,Myers,Online Payment
2024-05-17,pIj-464226,Lamp,Home & Garden,72.79,4,291.16,CUST-498822,Abigail,Livingston,Online Payment
2024-05-17,nnL-789449,Camera,Electronics,954.66,7,6682.62,CUST-793267,Christopher,Payne,Credit Card
2024-05-17,NUt-642875,Video Game,Toys & Games,54.53,4,218.12,CUST-695799,Michael,Garza,Online Payment
2024-05-17,sEi-973365,Puzzle,Toys & Games,43.52,8,348.16,CUST-828115,Benjamin,Castillo,Credit Card
2024-05-17,cQU-534903,Dress,Clothing,118.99,5,594.95,CUST-337295,Rachel,Ferguson,Debit Card
2024-05-17,Qia-396872,Video Game,Toys & Games,57.94,9,521.46,CUST-813037,Catherine,Owens,Cash
2024-05-17,jNL-859039,Makeup Kit,Health & Beauty,67.49,1,67.49,CUST-812446,Timothy,Smith,Online Payment
2024-05-17,xWL-474081,Action Figure,Toys & Games,62.87,1,62.87,CUST-075584,Charles,Johnson,Credit Card
2024-05-17,RzE-217954,Cushion,Home & Garden,44.76,6,268.56,CUST-131749,Julie,Bullock,Debit Card
2024-05-17,gvi-618864,Sneakers,Clothing,129.65,6,777.9,CUST-280585,Denise,Sellers,Debit Card
2024-05-17,mxB-699896,Headphones,Electronics,288.25,4,1153.0,CUST-814780,Timothy,Robinson,Credit Card
2024-05-17,GSJ-578538,Makeup Kit,Health & Beauty,94.19,8,753.52,CUST-727349,Shawn,Mccullough,Cash
2024-05-17,JzE-453629,Sneakers,Clothing,144.33,8,1154.64,CUST-456214,Lynn,Frazier,Online Payment
2024-05-17,AvR-259125,Video Game,Toys & Games,55.81,5,279.05,CUST-738614,Erin,Taylor,Online Payment
2024-05-17,yCk-301744,Camera,Electronics,647.59,4,2590.36,CUST-912470,Larry,Beltran,Debit Card
2024-05-17,bor-652606,Video Game,Toys & Games,56.8,7,397.6,CUST-602629,Mark,Johnson,Debit Card
2024-05-17,OAl-356677,Perfume,Health & Beauty,99.15,4,396.6,CUST-931953,James,May,Credit Card
2024-05-17,Vna-592560,Cushion,Home & Garden,49.36,9,444.24,CUST-497270,Christine,King,Cash
2024-05-17,Smm-326536,Science Fiction,Books,21.59,9,194.31,CUST-908124,William,Ferguson,Cash
2024-05-17,Kkt-256668,Jeans,Clothing,87.61,4,350.44,CUST-835621,Adam,Henry,Cash
2024-05-17,Ohy-341078,Laptop,Electronics,1450.39,7,10152.73,CUST-490797,Tyler,Houston,Credit Card
2024-05-17,LXJ-762823,Puzzle,Toys & Games,40.88,1,40.88,CUST-908560,Kiara,Jones,Online Payment
2024-05-17,ORk-263797,Cushion,Home & Garden,13.43,4,53.72,CUST-640706,Samuel,Buchanan,Credit Card
2024-05-17,HfY-629644,Sneakers,Clothing,137.58,8,1100.64,CUST-018997,Craig,Dean,Debit Card
2024-05-17,mJB-290969,Novel,Books,11.07,7,77.49,CUST-321668,Brittney,Medina,Credit Card
2024-05-17,OlJ-413578,Laptop,Electronics,1328.24,2,2656.48,CUST-859234,Christian,Graham,Online Payment
2024-05-17,JBV-353179,History,Books,46.59,3,139.77,CUST-980705,Heather,Martin,Online Payment
2024-05-17,YMP-472771,Action Figure,Toys & Games,103.41,3,310.23,CUST-321279,Michelle,Thompson,Online Payment
2024-05-17,bQL-376617,Action Figure,Toys & Games,149.91,5,749.55,CUST-313460,Jack,Thomas,Credit Card
2024-05-17,GyW-741320,Video Game,Toys & Games,57.31,6,343.86,CUST-904314,Allison,Evans,Online Payment
2024-05-17,WAa-639086,Science Fiction,Books,15.23,2,30.46,CUST-371190,Paul,Gutierrez,Credit Card
