Date,Product_ID,Product_Name,Category,Unit_Price,Quantity_Sold,Total_Sales,Customer_ID,First_Name,Last_Name,Payment_Type
2024-05-14,yFw-762288,Puzzle,Toys & Games,16.9,1,16.9,CUST-840392,Keith,Thompson,Online Payment
2024-05-14,DwV-099766,Cushion,Home & Garden,22.38,5,111.9,CUST-293965,Michael,Adams,Credit Card
2024-05-14,Wzg-746665,Biography,Books,24.36,3,73.08,CUST-403481,Tina,Mejia,Debit Card
2024-05-14,qyR-914811,Novel,Books,10.54,5,52.7,CUST-726579,Debra,Andrews,Cash
2024-05-14,rZU-141211,Board Game,Toys & Games,20.69,1,20.69,CUST-493650,John,Schwartz,Online Payment
2024-05-14,roE-943233,Headphones,Electronics,146.57,8,1172.56,CUST-914172,Carol,Oconnor,Cash
2024-05-14,Xig-039194,Camera,Electronics,1114.54,5,5572.7,CUST-449213,Catherine,Carter,Credit Card
2024-05-14,fWr-682145,Puzzle,Toys & Games,36.36,9,327.24,CUST-721479,Jennifer,Holt,Cash
2024-05-14,DmO-905908,Headphones,Electronics,298.44,3,895.32,CUST-894720,Derek,Lee,Credit Card
2024-05-14,pZJ-643252,Skin Cream,Health & Beauty,13.16,1,13.16,CUST-588256,Jonathan,Miller,Cash
2024-05-14,dKl-464406,Perfume,Health & Beauty,141.53,7,990.71,CUST-056600,Robert,Ruiz,Online Payment
2024-05-14,VSU-573981,Chair,Home & Garden,143.95,7,1007.65,CUST-066545,Kevin,Rodriguez,Cash
2024-05-14,URJ-486619,Action Figure,Toys & Games,52.72,7,369.04,CUST-128326,Misty,Colon,Online Payment
2024-05-14,FUZ-169672,Novel,Books,17.22,4,68.88,CUST-449244,Madison,Carter,Debit Card
2024-05-14,njy-579945,Lamp,Home & Garden,59.62,7,417.34,CUST-619299,Thomas,Jones,Credit Card
2024-05-14,woz-470476,Science Fiction,Books,13.03,2,26.06,CUST-437614,Mary,Scott,Credit Card
2024-05-14,suz-927499,Smartphone,Electronics,460.57,6,2763.42,CUST-358931,Chase,Simpson,Cash
2024-05-14,itj-748085,Makeup Kit,Health & Beauty,27.1,4,108.4,CUST-600059,Jessica,Payne,Cash
2024-05-14,GQl-374966,Action Figure,Toys & Games,24.39,1,24.39,CUST-413615,Austin,Thompson,Cash
2024-05-14,CWw-064880,Skin Cream,Health & Beauty,22.31,4,89.24,CUST-997274,William,Goodwin,Online Payment
2024-05-14,Kib-963555,Chair,Home & Garden,37.24,1,37.24,CUST-770164,Nicole,Kennedy,Cash
2024-05-14,ivZ-924284,Camera,Electronics,482.23,5,2411.15,CUST-089951,Melissa,Moore,Online Payment
2024-05-14,vlf-011532,Perfume,Health & Beauty,178.44,9,1605.96,CUST-734705,Brian,Weaver,Cash
2024-05-14,vJh-661500,Shampoo,Health & Beauty,14.92,2,29.84,CUST-385718,Laurie,Jenkins,Debit Card
2024-05-14,HOY-611932,Cushion,Home & Garden,35.78,4,143.12,CUST-298299,Paul,Carpenter,Credit Card
2024-05-14,Wzx-412178,Skin Cream,Health & Beauty,54.98,1,54.98,CUST-339091,Maria,Diaz,Credit Card
2024-05-14,jiz-705309,Skin Cream,Health & Beauty,68.72,6,412.32,CUST-040445,Emma,Hubbard,Debit Card
2024-05-14,gJt-464551,T-shirt,Clothing,33.42,8,267.36,CUST-720289,Brian,Garcia,Online Payment
2024-05-14,bAo-587639,Video Game,Toys & Games,50.74,1,50.74,CUST-280685,Aaron,Young,Online Payment
2024-05-14,sBM-921408,Jeans,Clothing,70.36,9,633.24,CUST-794801,Wayne,Murray,Debit Card
2024-05-14,DXD-515908,Blanket,Home & Garden,53.39,3,160.17,CUST-633640,Steven,Crane,Online Payment
2024-05-14,qxs-375257,Puzzle,Toys & Games,11.5,4,46.0,CUST-596044,John,Garcia,Cash
2024-05-14,LDm-253677,Action Figure,Toys & Games,64.62,1,64.62,CUST-639721,Anne,Mills,Debit Card
2024-05-14,dSX-784922,Laptop,Electronics,1175.79,6,7054.74,CUST-193588,Timothy,Williams,Credit Card
2024-05-14,sMf-945211,Sneakers,Clothing,139.18,7,974.26,CUST-643919,Stanley,Sosa,Cash
2024-05-14,lOz-872010,Blanket,Home & Garden,87.01,5,435.05,CUST-309257,Karen,Flynn,Online Payment
2024-05-14,Oip-773451,Laptop,Electronics,1431.6,4,5726.4,CUST-776384,Tina,Hood,Cash
2024-05-14,IDX-960615,Puzzle,Toys & Games,5.6,7,39.2,CUST-142290,Caleb,Mcintosh,Debit Card
